"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
311;65,993;1,0998833333;1674551351,488;0,647050884;5;0,65;3,25;0;0;0
312;66,293;1,1048833333;1674551351,817;0,648336791;5;0,65;3,25;0;0;0
313;66,593;1,1098833333;1674551352,12;0,647607971;5;0,65;3,25;0;0;0
314;66,893;1,1148833333;1674551352,384;0,646675305;5;0,65;3,25;0;0;0
315;67,193;1,1198833333;1674551352,708;0,647069966;5;0,65;3,25;0;0;0
316;67,494;1,1249;1674551353,005;0,647199348;5;0,65;3,25;0;0;0
317;67,793;1,1298833333;1674551353,287;0,647669404;5;0,65;3,25;0;0;0
318;68,093;1,1348833333;1674551353,631;0,647823452;5;0,65;3,25;0;0;0
319;68,405;1,1400833333;1674551353,896;0,64751396;5;0,65;3,25;0;0;0
320;68,693;1,1448833333;1674551354,213;0,648279081;5;0,65;3,25;0;0;0
